state,stateFips,countyFips,name,code,combinedName
AL,1,1,Autauga County,H1,"Autauga County,AL"
AL,1,3,Baldwin County,H1,"Baldwin County,AL"
AL,1,5,Barbour County,H1,"Barbour County,AL"
AL,1,7,Bibb County,H1,"Bibb County,AL"
AL,1,9,Blount County,H1,"Blount County,AL"
AL,1,11,Bullock County,H1,"Bullock County,AL"
AL,1,13,Butler County,H1,"Butler County,AL"
AL,1,15,Calhoun County,H1,"Calhoun County,AL"
AL,1,17,Chambers County,H1,"Chambers County,AL"
AL,1,19,Cherokee County,H1,"Cherokee County,AL"
AL,1,21,Chilton County,H1,"Chilton County,AL"
AL,1,23,Choctaw County,H1,"Choctaw County,AL"
AL,1,25,Clarke County,H1,"Clarke County,AL"
AL,1,27,Clay County,H1,"Clay County,AL"
AL,1,29,Cleburne County,H1,"Cleburne County,AL"
AL,1,31,Coffee County,H1,"Coffee County,AL"
AL,1,33,Colbert County,H1,"Colbert County,AL"
AL,1,35,Conecuh County,H1,"Conecuh County,AL"
AL,1,37,Coosa County,H1,"Coosa County,AL"
AL,1,39,Covington County,H1,"Covington County,AL"
AL,1,41,Crenshaw County,H1,"Crenshaw County,AL"
AL,1,43,Cullman County,H1,"Cullman County,AL"
AL,1,45,Dale County,H1,"Dale County,AL"
AL,1,47,Dallas County,H1,"Dallas County,AL"
AL,1,49,DeKalb County,H1,"DeKalb County,AL"
AL,1,51,Elmore County,H1,"Elmore County,AL"
AL,1,53,Escambia County,H1,"Escambia County,AL"
AL,1,55,Etowah County,H1,"Etowah County,AL"
AL,1,57,Fayette County,H1,"Fayette County,AL"
AL,1,59,Franklin County,H1,"Franklin County,AL"
AL,1,61,Geneva County,H1,"Geneva County,AL"
AL,1,63,Greene County,H1,"Greene County,AL"
AL,1,65,Hale County,H1,"Hale County,AL"
AL,1,67,Henry County,H1,"Henry County,AL"
AL,1,69,Houston County,H1,"Houston County,AL"
AL,1,71,Jackson County,H1,"Jackson County,AL"
AL,1,73,Jefferson County,H1,"Jefferson County,AL"
AL,1,75,Lamar County,H1,"Lamar County,AL"
AL,1,77,Lauderdale County,H1,"Lauderdale County,AL"
AL,1,79,Lawrence County,H1,"Lawrence County,AL"
AL,1,81,Lee County,H1,"Lee County,AL"
AL,1,83,Limestone County,H1,"Limestone County,AL"
AL,1,85,Lowndes County,H1,"Lowndes County,AL"
AL,1,87,Macon County,H1,"Macon County,AL"
AL,1,89,Madison County,H1,"Madison County,AL"
AL,1,91,Marengo County,H1,"Marengo County,AL"
AL,1,93,Marion County,H1,"Marion County,AL"
AL,1,95,Marshall County,H1,"Marshall County,AL"
AL,1,97,Mobile County,H1,"Mobile County,AL"
AL,1,99,Monroe County,H1,"Monroe County,AL"
AL,1,101,Montgomery County,H1,"Montgomery County,AL"
AL,1,103,Morgan County,H1,"Morgan County,AL"
AL,1,105,Perry County,H1,"Perry County,AL"
AL,1,107,Pickens County,H1,"Pickens County,AL"
AL,1,109,Pike County,H1,"Pike County,AL"
AL,1,111,Randolph County,H1,"Randolph County,AL"
