name	total	density	dem	gop
"Abbeville County, South Carolina"	"25,417"	51.82	0.34614	0.628683
"Acadia Parish, Louisiana"	"61,773"	94.29	0.205872	0.772621
"Accomack County, Virginia"	"33,164"	73.78	0.42761	0.544716
"Ada County, Idaho"	"392,365"	372.77	0.386917	0.479316
"Adair County, Kentucky"	"18,656"	46.03	0.160792	0.806636
"Adair County, Iowa"	"7,682"	13.49	0.299814	0.653365
"Adair County, Missouri"	"25,607"	45.14	0.344777	0.593765
"Adair County, Oklahoma"	"22,683"	39.55	0.21243	0.734848
"Adams County, North Dakota"	"2,343"	2.37	0.179104	0.749585
"Adams County, Ohio"	"28,550"	48.9	0.207267	0.763355
"Adams County, Nebraska"	"31,364"	55.68	0.248406	0.698831
"Adams County, Wisconsin"	"20,875"	32.33	0.373998	0.591966
"Adams County, Washington"	"18,728"	9.73	0.273952	0.671404
"Adams County, Mississippi"	"32,297"	69.85	0.566645	0.4196
"Adams County, Iowa"	"4,029"	9.51	0.271374	0.669068
"Adams County, Colorado"	"441,603"	378.2	0.493767	0.421453
"Adams County, Idaho"	"3,976"	2.92	0.190105	0.712781
"Adams County, Indiana"	"34,387"	101.43	0.214894	0.739474
"Adams County, Pennsylvania"	"101,407"	195.51	0.298634	0.662926
"Adams County, Illinois"	"67,103"	78.46	0.240258	0.715518
"Addison County, Vermont"	"36,821"	48.05	0.637619	0.301103
"Aiken County, South Carolina"	"160,099"	149.48	0.340043	0.614941
"Aitkin County, Minnesota"	"16,202"	8.89	0.341208	0.600544
"Alachua County, Florida"	"247,336"	282.66	0.589625	0.36443
"Alamance County, North Carolina"	"151,131"	356.49	0.422557	0.552018
"Alameda County, California"	"1,510,271"	"2,043.62"	0.793142	0.148711
"Alamosa County, Colorado"	"15,445"	21.37	0.45933	0.439466
"Albany County, New York"	"304,204"	581.87	0.595134	0.352002
"Albany County, Wyoming"	"36,299"	8.49	0.419488	0.462911
"Albemarle County, Virginia"	"98,970"	137.33	0.59317	0.342609
"Alcona County, Michigan"	"10,942"	16.22	0.280304	0.679883
"Alcorn County, Mississippi"	"37,057"	92.63	0.181584	0.799472
"Alexander County, North Carolina"	"37,198"	143.07	0.208206	0.767642
"Alexander County, Illinois"	"8,238"	34.98	0.447518	0.530496
"Alexandria city, Virginia"	"139,966"	"9,314.31"	0.76827	0.178009
"Alfalfa County, Oklahoma"	"5,642"	6.51	0.095745	0.85594
"Alger County, Michigan"	"9,601"	10.49	0.368491	0.57279
"Allamakee County, Iowa"	"14,330"	22.42	0.352348	0.595583
"Allegan County, Michigan"	"111,408"	135	0.325132	0.613058
"Allegany County, Maryland"	"75,087"	177.03	0.239714	0.72022
"Allegany County, New York"	"48,946"	47.55	0.261411	0.684472
"Alleghany County, Virginia"	"16,250"	36.48	0.296332	0.666986
"Alleghany County, North Carolina"	"11,155"	47.46	0.249329	0.726697
"Allegheny County, Pennsylvania"	"1,223,348"	"1,675.65"	0.564416	0.40034
"Allen County, Kansas"	"13,371"	26.73	0.263079	0.672751
"Allen County, Ohio"	"106,331"	264.18	0.2871	0.668922
"Allen County, Indiana"	"355,329"	540.58	0.378785	0.574818
"Allen County, Kentucky"	"19,956"	57.95	0.166852	0.799753
"Allen Parish, Louisiana"	"25,764"	33.82	0.227799	0.74278
"Allendale County, South Carolina"	"10,419"	25.53	0.76076	0.220235
"Alpena County, Michigan"	"29,598"	51.76	0.33204	0.618873
"Alpine County, California"	"1,175"	1.59	0.553043	0.366957
"Amador County, California"	"38,091"	64.06	0.343535	0.595776
"Amelia County, Virginia"	"12,690"	35.72	0.305615	0.668657
"Amherst County, Virginia"	"32,353"	68.26	0.328805	0.635914
"Amite County, Mississippi"	"13,131"	17.99	0.382198	0.608844
"Anderson County, Kentucky"	"21,421"	106.13	0.230769	0.722096
