Geo NAME,Geo QName,Geo AREALAND,Geo AREAWATR,Geo SUMLEV,Geo GEOCOMP,Geo REGION,Geo DIVISION,CombinedFips (countyCensusDensity.csv),Geo STATE,County FIPS,Se T002 001,Population Density Per Sq Mile,Se T002 006,Se T054 001,Se T054 002,Se T054 003,Se T054 004,Se T054 005,Se T054 006,Se T054 007,Se T054 008,State,State Fips,County Fips,Name,Code,Combined Name,Votes Dem,Votes Gop,Total Votes,Per Dem,Per Gop,Diff,Per Point Diff,State Abbr,County Name,County And State,Combined Fips
Baltimore city,"Baltimore city, Maryland","209,643,241.00","28,768,302",50,0,3,5,"24,510",24,510,"620,961","7,671.52",80.94,"620,961","183,830","395,781","2,270","14,548",274,"11,303","12,955",MD,24,510,Baltimore city,C7,"Baltimore city,MD","178,562","22,726","208,980",0.854445,0.108747,"155,836",0.7457,MD,Baltimore city,"Baltimore city,MD","24,510"
St. Louis city,"St. Louis city, Missouri","160,343,174.00","10,683,076",50,0,2,4,"29,510",29,510,"319,294","5,157.49",61.91,"319,294","140,267","157,160",838,"9,291",74,"4,102","7,562",MO,29,510,St. Louis city,C7,"St. Louis city,MO","101,487","20,281","127,403",0.796582,0.159188,"81,206",0.6374,MO,St. Louis city,"St. Louis city,MO","29,510"
Carson City,"Carson City, Nevada","374,672,985.00","32,587,486",50,0,4,8,"32,510",32,510,"55,274",382.09,144.66,"55,274","44,807","1,054","1,306","1,181",101,"5,205","1,620",NV,32,510,Carson City,C7,"Carson City,NV","9,610","13,125","25,016",0.384154,0.524664,"3,515",0.1405,NV,Carson City,"Carson City,NV","32,510"
Alexandria city,"Alexandria city, Virginia","38,919,733.00","1,140,371",50,0,3,5,"51,510",51,510,"139,966","9,314.31",15.03,"139,966","85,186","30,491",589,"8,432",141,"9,902","5,225",VA,51,510,Alexandria city,C7,"Alexandria city,VA","57,147","13,241","74,384",0.76827,0.178009,"43,906",0.5903,VA,Alexandria city,"Alexandria city,VA","51,510"
Bristol city,"Bristol city, Virginia","33,703,512.00","363,160",50,0,3,5,"51,520",51,520,"17,835","1,370.55",13.01,"17,835","16,214","1,009",52,122,4,92,342,VA,51,520,Bristol city,C7,"Bristol city,VA","1,832","4,884","6,966",0.262992,0.70112,"3,052",0.4381,VA,Bristol city,"Bristol city,VA","51,520"
Buena Vista city,"Buena Vista city, Virginia","17,362,236.00","223,855",50,0,3,5,"51,530",51,530,"6,650",992,6.7,"6,650","6,050",347,73,29,12,28,111,VA,51,530,Buena Vista city,C7,"Buena Vista city,VA",693,"1,432","2,395",0.289353,0.597912,739,0.3086,VA,Buena Vista city,"Buena Vista city,VA","51,530"
Charlottesville city,"Charlottesville city, Virginia","26,517,362.00","52,974",50,0,3,5,"51,540",51,540,"43,475","4,246.26",10.24,"43,475","30,031","8,437",116,"2,771",17,794,"1,309",VA,51,540,Charlottesville city,C7,"Charlottesville city,VA","17,865","2,951","22,211",0.804331,0.132862,"14,914",0.6715,VA,Charlottesville city,"Charlottesville city,VA","51,540"
Chesapeake city,"Chesapeake city, Virginia","882,669,156.00","26,052,854",50,0,3,5,"51,550",51,550,"222,209",652.02,340.8,"222,209","139,012","66,237",871,"6,383",169,"2,760","6,777",VA,51,550,Chesapeake city,C7,"Chesapeake city,VA","52,554","53,988","111,827",0.469958,0.482781,"1,434",0.0128,VA,Chesapeake city,"Chesapeake city,VA","51,550"
Colonial Heights city,"Colonial Heights city, Virginia","19,476,234.00","757,309",50,0,3,5,"51,570",51,570,"17,411","2,315.35",7.52,"17,411","14,326","1,783",68,578,8,258,390,VA,51,570,Colonial Heights city,C7,"Colonial Heights city,VA","2,367","5,681","8,427",0.280883,0.674143,"3,314",0.3933,VA,Colonial Heights city,"Colonial Heights city,VA","51,570"
Covington city,"Covington city, Virginia","14,163,340.00","522,061",50,0,3,5,"51,580",51,580,"5,961","1,090.06",5.47,"5,961","5,014",746,18,34,0,33,116,VA,51,580,Covington city,C7,"Covington city,VA",914,"1,349","2,369",0.385817,0.569439,435,0.1836,VA,Covington city,"Covington city,VA","51,580"
Danville city,"Danville city, Virginia","111,198,695.00","2,627,087",50,0,3,5,"51,590",51,590,"43,055","1,002.82",42.93,"43,055","20,531","20,795",75,403,11,664,576,VA,51,590,Danville city,C7,"Danville city,VA","11,051","7,306","18,862",0.585887,0.38734,"3,745",0.1985,VA,Danville city,"Danville city,VA","51,590"
Emporia city,"Emporia city, Virginia","17,854,907.00","191,799",50,0,3,5,"51,595",51,595,"5,927",859.76,6.89,"5,927","1,937","3,706",19,43,4,127,91,VA,51,595,Emporia city,C7,"Emporia city,VA","1,531",792,"2,367",0.64681,0.334601,739,0.3122,VA,Emporia city,"Emporia city,VA","51,595"
Fairfax city,"Fairfax city, Virginia","16,159,465.00","95,054",50,0,3,5,"51,600",51,600,"22,565","3,616.65",6.24,"22,565","15,706","1,071",111,"3,432",14,"1,323",908,VA,51,600,Fairfax city,C7,"Fairfax city,VA","7,363","3,695","11,854",0.621141,0.311709,"3,668",0.3094,VA,Fairfax city,"Fairfax city,VA","51,600"
Falls Church city,"Falls Church city, Virginia","5,176,813.00",6,50,0,3,5,"51,610",51,610,"12,332","6,169.77",2,"12,332","9,853",532,33,"1,162",4,259,489,VA,51,610,Falls Church city,C7,"Falls Church city,VA","5,810","1,323","7,667",0.757793,0.172558,"4,487",0.5852,VA,Falls Church city,"Falls Church city,VA","51,610"
Franklin city,"Franklin city, Virginia","21,252,884.00","369,830",50,0,3,5,"51,620",51,620,"8,582","1,045.85",8.21,"8,582","3,380","4,884",28,64,2,59,165,VA,51,620,Franklin city,C7,"Franklin city,VA","2,516","1,421","4,040",0.622772,0.351733,"1,095",0.271,VA,Franklin city,"Franklin city,VA","51,620"
Fredericksburg city,"Fredericksburg city, Virginia","27,039,905.00","182,486",50,0,3,5,"51,630",51,630,"24,286","2,326.21",10.44,"24,286","15,596","5,498",100,689,17,"1,437",949,VA,51,630,Fredericksburg city,C7,"Fredericksburg city,VA","6,690","3,731","11,135",0.600808,0.33507,"2,959",0.2657,VA,Fredericksburg city,"Fredericksburg city,VA","51,630"
Galax city,"Galax city, Virginia","21,340,428.00","103,782",50,0,3,5,"51,640",51,640,"7,042",854.65,8.24,"7,042","6,044",439,7,37,8,363,144,VA,51,640,Galax city,C7,"Galax city,VA",680,"1,603","2,363",0.28777,0.678375,923,0.3906,VA,Galax city,"Galax city,VA","51,640"
Hampton city,"Hampton city, Virginia","133,160,054.00","219,853,142",50,0,3,5,"51,650",51,650,"137,436","2,673.16",51.41,"137,436","58,642","68,104",594,"2,992",154,"1,826","5,124",VA,51,650,Hampton city,C7,"Hampton city,VA","41,030","17,802","61,489",0.667274,0.289515,"23,228",0.3778,VA,Hampton city,"Hampton city,VA","51,650"
Harrisonburg city,"Harrisonburg city, Virginia","45,112,613.00","149,955",50,0,3,5,"51,660",51,660,"48,914","2,808.23",17.42,"48,914","38,371","3,112",127,"1,718",62,"4,030","1,494",VA,51,660,Harrisonburg city,C7,"Harrisonburg city,VA","10,100","6,232","17,693",0.570847,0.35223,"3,868",0.2186,VA,Harrisonburg city,"Harrisonburg city,VA","51,660"
Hopewell city,"Hopewell city, Virginia","26,620,504.00","1,357,034",50,0,3,5,"51,670",51,670,"22,591","2,197.95",10.28,"22,591","12,515","8,367",87,181,24,697,720,VA,51,670,Hopewell city,C7,"Hopewell city,VA","4,722","3,885","8,968",0.526539,0.433207,837,0.0933,VA,Hopewell city,"Hopewell city,VA","51,670"
Lexington city,"Lexington city, Virginia","6,466,940.00","68,429",50,0,3,5,"51,678",51,678,"7,042","2,820.30",2.5,"7,042","6,003",680,8,155,4,64,128,VA,51,678,Lexington city,C7,"Lexington city,VA","1,514",766,"2,448",0.618464,0.312908,748,0.3056,VA,Lexington city,"Lexington city,VA","51,678"
Lynchburg city,"Lynchburg city, Virginia","127,239,697.00","1,344,996",50,0,3,5,"51,680",51,680,"75,568","1,538.20",49.13,"75,568","48,674","22,140",237,"1,868",37,950,"1,662",VA,51,680,Lynchburg city,C7,"Lynchburg city,VA","14,787","17,979","35,349",0.418315,0.508614,"3,192",0.0903,VA,Lynchburg city,"Lynchburg city,VA","51,680"
