name,total,denisty,dem,gop,fips
"Abbeville County, South Carolina","25,417",51.82,"3,712","6,742","45,001"
"Acadia Parish, Louisiana","61,773",94.29,"5,638","21,159","22,001"
"Accomack County, Virginia","33,164",73.78,"6,737","8,582","51,001"
"Ada County, Idaho","392,365",372.77,"75,676","93,748","16,001"
"Adair County, Kentucky","18,656",46.03,"1,323","6,637","21,001"
"Adair County, Iowa","7,682",13.49,"1,127","2,456","19,001"
"Adair County, Missouri","25,607",45.14,"3,495","6,019","29,001"
"Adair County, Oklahoma","22,683",39.55,"1,374","4,753","40,001"
"Adams County, North Dakota","2,343",2.37,216,904,"38,001"
"Adams County, Ohio","28,550",48.9,"2,293","8,445","39,001"
"Adams County, Nebraska","31,364",55.68,"3,272","9,205","31,001"
"Adams County, Wisconsin","20,875",32.33,"3,780","5,983","55,001"
"Adams County, Washington","18,728",9.73,"1,118","2,740","53,001"
"Adams County, Mississippi","32,297",69.85,"6,921","5,125","28,001"
"Adams County, Iowa","4,029",9.51,565,"1,393","19,003"
"Adams County, Colorado","441,603",378.2,"86,471","73,807","8,001"
"Adams County, Idaho","3,976",2.92,415,"1,556","16,003"
"Adams County, Indiana","34,387",101.43,"2,802","9,642","18,001"
"Adams County, Pennsylvania","101,407",195.51,"14,077","31,249","42,001"
"Adams County, Illinois","67,103",78.46,"7,633","22,732","17,001"
"Addison County, Vermont","36,821",48.05,"11,217","5,297","50,001"
"Aiken County, South Carolina","160,099",149.48,"25,426","45,981","45,003"
"Aitkin County, Minnesota","16,202",8.89,"3,134","5,516","27,001"
"Alachua County, Florida","247,336",282.66,"75,370","46,584","12,001"
"Alamance County, North Carolina","151,131",356.49,"29,268","38,235","37,001"
"Alameda County, California","1,510,271","2,043.62","486,351","91,189","6,001"
"Alamosa County, Colorado","15,445",21.37,"3,168","3,031","8,003"
"Albany County, New York","304,204",581.87,"74,775","44,227","36,001"
"Albany County, Wyoming","36,299",8.49,"6,888","7,601","56,001"
"Albemarle County, Virginia","98,970",137.33,"33,297","19,232","51,003"
"Alcona County, Michigan","10,942",16.22,"1,732","4,201","26,001"
"Alcorn County, Mississippi","37,057",92.63,"2,684","11,817","28,003"
"Alexander County, North Carolina","37,198",143.07,"3,750","13,826","37,003"
"Alexander County, Illinois","8,238",34.98,"1,262","1,496","17,003"
"Alexandria city, Virginia","139,966","9,314.31","57,147","13,241","51,510"
"Alfalfa County, Oklahoma","5,642",6.51,216,"1,931","40,003"
"Alger County, Michigan","9,601",10.49,"1,663","2,585","26,003"
"Allamakee County, Iowa","14,330",22.42,"2,409","4,072","19,005"
"Allegan County, Michigan","111,408",135,"17,932","33,812","26,005"
"Allegany County, Maryland","75,087",177.03,"6,665","20,025","24,001"
"Allegany County, New York","48,946",47.55,"4,473","11,712","36,003"
"Alleghany County, Virginia","16,250",36.48,"2,165","4,873","51,005"
"Alleghany County, North Carolina","11,155",47.46,"1,300","3,789","37,005"
"Allegheny County, Pennsylvania","1,223,348","1,675.65","363,017","257,488","42,003"
"Allen County, Kansas","13,371",26.73,"1,398","3,575","20,001"
"Allen County, Ohio","106,331",264.18,"12,815","29,858","39,003"
"Allen County, Indiana","355,329",540.58,"55,222","83,801","18,003"
"Allen County, Kentucky","19,956",57.95,"1,349","6,466","21,003"
"Allen Parish, Louisiana","25,764",33.82,"2,106","6,867","22,003"
"Allendale County, South Carolina","10,419",25.53,"2,722",788,"45,005"
"Alpena County, Michigan","29,598",51.76,"4,877","9,090","26,007"
"Alpine County, California","1,175",1.59,318,211,"6,003"
"Amador County, California","38,091",64.06,"5,904","10,239","6,005"
"Amelia County, Virginia","12,690",35.72,"2,150","4,704","51,007"
"Amherst County, Virginia","32,353",68.26,"4,986","9,643","51,009"
"Amite County, Mississippi","13,131",17.99,"2,688","4,282","28,005"
"Anderson County, Kentucky","21,421",106.13,"2,634","8,242","21,005"
"Anderson County, Texas","58,458",55.01,"3,358","13,165","48,001"
"Anderson County, South Carolina","187,126",261.56,"21,040","56,109","45,007"
"Anderson County, Kansas","8,102",13.98,665,"2,386","20,003"
"Anderson County, Tennessee","75,129",222.83,"9,010","19,201","47,001"
"Andrew County, Missouri","17,291",39.96,"2,045","6,665","29,003"
"Andrews County, Texas","14,786",9.85,836,"3,925","48,003"
"Androscoggin County, Maine","107,702",230.17,"22,975","28,189","23,001"
"Angelina County, Texas","86,771",108.77,"7,538","21,666","48,005"
"Anne Arundel County, Maryland","537,656","1,295.86","116,074","114,509","24,003"
"Anoka County, Minnesota","330,844",782.12,"75,499","93,341","27,003"
"Anson County, North Carolina","26,948",50.71,"5,785","4,480","37,007"
"Antelope County, Nebraska","6,685",7.8,381,"2,717","31,003"
"Antrim County, Michigan","23,580",49.57,"4,448","8,469","26,009"
"Apache County, Arizona","71,518",6.39,"12,196","5,315","4,001"
"Appanoose County, Iowa","12,887",25.91,"1,813","4,031","19,007"
"Appling County, Georgia","18,236",35.96,"1,434","5,492","13,001"
"Appomattox County, Virginia","14,973",44.9,"2,023","5,714","51,011"
"Aransas County, Texas","23,158",91.87,"2,458","7,730","48,007"
"Arapahoe County, Colorado","572,003",716.71,"148,365","109,638","8,005"
"Archer County, Texas","9,054",10.03,394,"3,785","48,009"
"Archuleta County, Colorado","12,084",8.95,"2,489","4,234","8,007"
"Arenac County, Michigan","15,899",43.78,"2,238","4,704","26,011"
"Arkansas County, Arkansas","19,019",19.24,"1,939","3,825","5,001"
"Arlington County, Virginia","207,627","7,993.50","91,879","20,155","51,013"
"Armstrong County, Pennsylvania","68,941",105.54,"6,849","22,676","42,005"
"Armstrong County, Texas","1,901",2.09,70,924,"48,011"
"Aroostook County, Maine","71,870",10.77,"13,377","19,419","23,003"
"Arthur County, Nebraska",460,0.64,16,237,"31,005"
"Ascension Parish, Louisiana","107,215",369.73,"16,471","36,135","22,005"
"Ashe County, North Carolina","27,281",64.02,"3,476","9,353","37,009"
"Ashland County, Wisconsin","16,157",15.46,"4,136","3,428","55,003"
"Ashland County, Ohio","53,139",125.64,"5,659","17,169","39,005"
"Ashley County, Arkansas","21,853",23.62,"2,408","5,338","5,003"
"Ashtabula County, Ohio","101,497",144.6,"15,191","22,755","39,007"
"Asotin County, Washington","21,623",33.99,"3,118","5,712","53,003"
"Assumption Parish, Louisiana","23,421",69.16,"3,931","6,714","22,007"
"Atascosa County, Texas","44,911",36.83,"4,635","8,598","48,013"
"Atchison County, Kansas","16,924",39.25,"1,946","3,977","20,005"
"Atchison County, Missouri","5,685",10.39,541,"2,059","29,005"
"Athens County, Ohio","64,757",128.59,"15,552","10,816","39,009"
"Atkinson County, Georgia","8,375",24.68,696,"1,873","13,003"
"Atlantic County, New Jersey","274,549",494.06,"54,472","47,882","34,001"
"Atoka County, Oklahoma","14,182",14.54,795,"4,068","40,005"
"Attala County, Mississippi","19,564",26.62,"2,847","4,288","28,007"
"Audrain County, Missouri","25,529",36.88,"2,567","6,981","29,007"
"Audubon County, Iowa","6,119",13.81,"1,079","2,135","19,009"
"Auglaize County, Ohio","45,949",114.48,"3,825","18,130","39,011"
"Augusta County, Virginia","73,750",76.27,"8,108","26,152","51,015"
"Aurora County, South Dakota","2,710",3.83,340,974,"46,003"
"Austin County, Texas","28,417",43.95,"2,319","9,637","48,015"
"Autauga County, Alabama","54,571",91.8,"5,908","18,110","1,001"
"Avery County, North Carolina","17,797",72.03,"1,670","6,226","37,011"
"Avoyelles Parish, Louisiana","42,073",50.54,"5,032","11,163","22,009"
"Baca County, Colorado","3,788",1.48,278,"1,716","8,009"
"Bacon County, Georgia","11,096",42.91,607,"3,356","13,005"
"Bailey County, Texas","7,165",8.67,397,"1,343","48,017"
"Baker County, Georgia","3,451",10.09,650,775,"13,007"
"Baker County, Oregon","16,134",5.26,"1,781","6,160","41,001"
"Baker County, Florida","27,115",46.33,"2,112","10,294","12,003"
"Baldwin County, Alabama","182,265",114.65,"18,409","72,780","1,003"
"Baldwin County, Georgia","45,720",177.32,"7,965","7,691","13,009"
"Ballard County, Kentucky","8,249",33.44,816,"3,161","21,007"
"Baltimore city, Maryland","620,961","7,671.52","178,562","22,726","24,510"
"Baltimore County, Maryland","805,029","1,345.52","189,437","131,009","24,005"
"Bamberg County, South Carolina","15,987",40.64,"3,886","2,197","45,009"
"Bandera County, Texas","20,485",25.9,"1,726","8,159","48,019"
"Banks County, Georgia","18,395",79.26,684,"6,130","13,011"
"Banner County, Nebraska",690,0.92,18,355,"31,007"
"Bannock County, Idaho","82,839",74.5,"10,342","17,180","16,005"
"Baraga County, Michigan","8,860",9.86,"1,156","2,158","26,013"
"Barber County, Kansas","4,861",4.29,281,"1,822","20,007"
"Barbour County, West Virginia","16,589",48.64,"1,213","4,509","54,001"
"Barbour County, Alabama","27,457",31.03,"4,848","5,431","1,005"
"Barnes County, North Dakota","11,066",7.42,"1,597","3,156","38,003"
"Barnstable County, Massachusetts","215,888",548.32,"71,632","53,842","25,001"
"Barnwell County, South Carolina","22,621",41.25,"4,395","4,888","45,011"
"Barren County, Kentucky","42,173",86.5,"4,275","13,483","21,009"
"Barron County, Wisconsin","45,870",53.17,"7,881","13,595","55,005"
"Barrow County, Georgia","69,367",432.71,"6,580","21,105","13,013"
"Barry County, Missouri","35,597",45.74,"2,710","11,427","29,009"
"Barry County, Michigan","59,173",106.99,"9,109","19,197","26,015"
"Bartholomew County, Indiana","76,794",188.73,"9,841","20,637","18,005"
"Barton County, Missouri","12,402",20.95,795,"4,958","29,011"
"Barton County, Kansas","27,674",30.91,"1,823","7,766","20,009"
"Bartow County, Georgia","100,157",217.95,"8,204","29,879","13,015"
"Bastrop County, Texas","74,171",83.51,"10,555","16,314","48,021"
"Bates County, Missouri","17,049",20.38,"1,617","6,000","29,013"
"Bath County, Kentucky","11,591",41.58,"1,361","3,082","21,011"
"Bath County, Virginia","4,731",8.94,603,"1,548","51,017"
"Baxter County, Arkansas","41,513",74.89,"4,163","14,655","5,005"
"Bay County, Florida","168,852",222.63,"21,689","62,010","12,005"
"Bay County, Michigan","107,771",243.66,"21,641","28,327","26,017"
"Bayfield County, Wisconsin","15,014",10.16,"4,953","4,125","55,007"
"Baylor County, Texas","3,726",4.3,191,"1,267","48,023"
"Beadle County, South Dakota","17,398",13.82,"1,912","4,455","46,005"
"Bear Lake County, Idaho","5,986",6.14,255,"2,203","16,007"
"Beaufort County, South Carolina","162,233",281.52,"29,577","39,986","45,013"
"Beaufort County, North Carolina","47,759",57.74,"8,699","14,478","37,013"
"Beauregard Parish, Louisiana","35,654",30.81,"2,393","12,238","22,011"
"Beaver County, Oklahoma","5,636",3.11,176,"1,987","40,007"
"Beaver County, Utah","6,629",2.56,264,"1,838","49,001"
"Beaver County, Pennsylvania","170,539",392.3,"30,225","46,081","42,007"
"Beaverhead County, Montana","9,246",1.67,"1,115","3,243","30,001"
"Becker County, Minnesota","32,504",24.71,"5,208","10,880","27,005"
"Beckham County, Oklahoma","22,119",24.53,958,"6,287","40,009"
"Bedford County, Virginia","68,676",91.2,"9,733","30,578","51,019"
"Bedford County, Pennsylvania","49,762",49.16,"3,613","19,455","42,009"
"Bedford County, Tennessee","45,058",95.13,"3,384","11,455","47,003"
"Bee County, Texas","31,861",36.2,"3,443","4,743","48,025"
"Belknap County, New Hampshire","60,088",150.13,"13,517","19,315","33,001"
"Bell County, Kentucky","28,691",79.92,"1,720","7,764","21,013"
"Bell County, Texas","310,235",295.18,"37,608","51,780","48,027"
"Belmont County, Ohio","70,400",132.3,"8,652","20,729","39,013"
"Beltrami County, Minnesota","44,442",17.74,"8,688","10,783","27,007"
"Ben Hill County, Georgia","17,634",70.5,"2,098","3,734","13,017"
"Benewah County, Idaho","9,285",11.96,780,"3,101","16,009"
"Bennett County, South Dakota","3,431",2.9,412,666,"46,007"
"Bennington County, Vermont","37,125",55,"9,539","5,925","50,003"
"Benson County, North Dakota","6,660",4.8,842,927,"38,005"
"Bent County, Colorado","6,499",4.3,581,"1,166","8,011"
"Benton County, Oregon","85,579",126.61,"28,431","13,030","41,003"
"Benton County, Minnesota","38,451",94.17,"5,640","12,872","27,009"
"Benton County, Iowa","26,076",36.41,"4,672","8,226","19,011"
"Benton County, Indiana","8,854",21.79,860,"2,579","18,007"
"Benton County, Mississippi","8,729",21.47,"1,713","2,240","28,009"
"Benton County, Arkansas","221,339",261.21,"27,894","60,751","5,007"
"Benton County, Missouri","19,056",27.07,"2,024","7,212","29,015"
"Benton County, Washington","175,177",103.02,"25,173","45,594","53,005"
"Benton County, Tennessee","16,489",41.84,"1,474","4,715","47,005"
"Benzie County, Michigan","17,525",54.82,"4,108","5,539","26,019"
"Bergen County, New Jersey","905,116","3,884.47","209,251","163,220","34,003"
"Berkeley County, West Virginia","104,169",324.37,"12,287","28,210","54,003"
"Berkeley County, South Carolina","177,843",161.84,"30,492","44,223","45,015"
"Berks County, Pennsylvania","411,442",480.37,"75,169","93,094","42,011"
"Berkshire County, Massachusetts","131,219",141.58,"43,540","16,799","25,003"
"Bernalillo County, New Mexico","662,564",570.77,"141,960","93,874","35,001"
"Berrien County, Georgia","19,286",42.68,"1,041","5,408","13,019"
"Berrien County, Michigan","156,813",276.2,"29,496","38,646","26,021"
"Bertie County, North Carolina","21,282",30.43,"5,837","3,476","37,015"
"Bexar County, Texas","1,714,773","1,383.08","319,191","240,161","48,029"
"Bibb County, Alabama","22,915",36.81,"1,874","6,733","1,007"
"Bibb County, Georgia","155,547",622.78,"34,383","22,589","13,021"
"Bienville Parish, Louisiana","14,353",17.69,"3,129","3,756","22,013"
"Big Horn County, Montana","12,865",2.58,"2,061","1,833","30,003"
"Big Horn County, Wyoming","11,668",3.72,594,"4,067","56,003"
"Big Stone County, Minnesota","5,269",10.56,921,"1,607","27,011"
"Billings County, North Dakota",783,0.68,58,492,"38,007"
"Bingham County, Idaho","45,607",21.78,"2,924","10,907","16,011"
"Black Hawk County, Iowa","131,090",231.7,"32,006","27,382","19,013"
"Blackford County, Indiana","12,766",77.33,"1,243","3,349","18,009"
"Bladen County, North Carolina","35,190",40.25,"7,021","8,511","37,017"
"Blaine County, Idaho","21,376",8.09,"6,416","3,340","16,013"
"Blaine County, Nebraska",478,0.67,30,273,"31,009"
"Blaine County, Montana","6,491",1.54,"1,187","1,259","30,005"
"Blaine County, Oklahoma","11,943",12.86,711,"2,884","40,011"
"Blair County, Pennsylvania","127,089",241.71,"13,093","37,224","42,013"
"Blanco County, Texas","10,497",14.8,"1,244","4,212","48,031"
"Bland County, Virginia","6,824",19.08,453,"2,572","51,021"
"Bleckley County, Georgia","13,063",60.51,"1,094","3,717","13,023"
"Bledsoe County, Tennessee","12,876",31.68,896,"3,621","47,007"
"Blount County, Alabama","57,322",88.9,"2,150","22,808","1,009"
"Blount County, Tennessee","123,010",220.17,"12,085","37,385","47,009"
"Blue Earth County, Minnesota","64,013",85.6,"14,428","15,667","27,013"
"Boise County, Idaho","7,028",3.7,777,"2,673","16,015"
"Bolivar County, Mississippi","34,145",38.95,"8,410","4,251","28,011"
"Bollinger County, Missouri","12,363",20.01,705,"4,827","29,017"
"Bon Homme County, South Dakota","7,070",12.54,704,"2,105","46,009"
"Bond County, Illinois","17,768",46.72,"2,066","4,884","17,005"
"Bonner County, Idaho","40,877",23.57,"5,140","10,220","16,017"
"Bonneville County, Idaho","104,234",55.86,"8,930","26,699","16,019"
"Boone County, Kentucky","118,811",482.27,"15,026","39,082","21,015"
"Boone County, Missouri","162,642",237.29,"41,072","36,146","29,019"
"Boone County, Nebraska","5,505",8.02,414,"2,299","31,011"
"Boone County, Indiana","56,640",133.93,"10,181","19,654","18,011"
"Boone County, West Virginia","24,629",49.11,"1,783","6,483","54,005"
"Boone County, Arkansas","36,903",62.52,"2,925","12,225","5,009"
"Boone County, Iowa","26,306",46.02,"5,517","7,458","19,015"
"Boone County, Illinois","54,165",192.95,"8,952","12,261","17,007"
"Borden County, Texas",641,0.71,31,330,"48,033"
"Bosque County, Texas","18,212",18.53,"1,277","6,325","48,035"
"Bossier Parish, Louisiana","116,979",139.25,"12,638","35,451","22,015"
"Botetourt County, Virginia","33,148",61.25,"4,492","13,369","51,023"
"Bottineau County, North Dakota","6,429",3.85,734,"2,482","38,009"
"Boulder County, Colorado","294,567",405.58,"124,715","38,766","8,013"
"Boundary County, Idaho","10,972",8.65,933,"3,789","16,021"
"Bourbon County, Kansas","15,173",23.88,"1,306","4,314","20,011"
"Bourbon County, Kentucky","19,985",68.98,"2,791","5,569","21,017"
"Bowie County, Texas","92,565",104.59,"8,831","24,913","48,037"
"Bowman County, North Dakota","3,151",2.71,227,"1,445","38,011"
"Box Butte County, Nebraska","11,308",10.52,953,"3,550","31,013"
"Box Elder County, Utah","49,975",8.7,"1,814","10,324","49,003"
"Boyd County, Kentucky","49,542",309.9,"6,021","13,591","21,019"
"Boyd County, Nebraska","2,099",3.89,128,978,"31,015"
"Boyle County, Kentucky","28,432",157.81,"4,281","8,040","21,021"
"Bracken County, Kentucky","8,488",41.28,705,"2,711","21,023"
"Bradford County, Florida","28,520",97.02,"2,924","8,913","12,007"
"Bradford County, Pennsylvania","62,622",54.58,"6,263","17,957","42,015"
"Bradley County, Tennessee","98,963",301.02,"7,070","29,761","47,011"
"Bradley County, Arkansas","11,508",17.73,"1,317","2,163","5,011"
"Branch County, Michigan","45,248",89.36,"4,740","11,025","26,023"
"Brantley County, Georgia","18,411",41.62,619,"5,561","13,025"
"Braxton County, West Virginia","14,523",28.43,"1,315","3,516","54,007"
