name	winner	1950	1960	1970	1980	1990	2000	2010
"Winston County, Alabama"	trump	1	5	7	8	9	5	7
"Blount County, Alabama"	trump	1	6	5	4	5	7	5
"Gray County, Texas"	trump	6	7	6	8	5	4	8
"George County, Mississippi"	trump	8	7	6	8	0	8	7
"Campbell County, Wyoming"	trump	6	9	7	8	9	8	7
"Cullman County, Alabama"	trump	8	7	5	8	0	8	6
"Marion County, Alabama"	trump	1	5	7	8	9	5	7
"Itawamba County, Mississippi"	trump	1	6	5	4	5	7	5
"Clay County, Kentucky"	trump	6	7	6	8	5	4	8
"Hutchinson County, Texas"	trump	8	7	6	8	0	8	7
"Van Zandt County, Texas"	trump	6	9	7	8	9	8	7
"Harlan County, Kentucky"	trump	8	7	5	8	0	8	6
"Scott County, Tennessee"	trump	1	5	7	8	9	5	7
"District of Columbia, District of Columbia"	clinton	1	6	5	4	5	7	5
"Prince George's County, Maryland"	clinton	6	7	6	8	5	4	8
"Bronx County, New York"	clinton	8	7	6	8	0	8	7
"Petersburg city, Virginia"	clinton	6	9	7	8	9	8	7
"New York County, New York"	clinton	8	7	5	8	0	8	6
"San Francisco County, California"	clinton	1	5	7	8	9	5	7
"Baltimore city, Maryland"	clinton	1	6	5	4	5	7	5
"Clayton County, Georgia"	clinton	6	7	6	8	5	4	8
"Macon County, Alabama"	clinton	1	5	7	8	9	5	7
"Philadelphia County, Pennsylvania"	clinton	1	6	5	4	5	7	5
"DeKalb County, Georgia"	clinton	6	7	6	8	5	4	8
"Orleans Parish, Louisiana"	clinton	8	7	6	8	0	8	7
"Kings County, New York"	clinton	6	9	7	8	9	8	7
"St. Louis city, Missouri"	clinton	8	7	5	8	0	8	6
