name,unemploymentRate,difference
Autauga County_AL,7.6396,73.4358
Baldwin County_AL,7.5028,77.3515
Barbour County_AL,17.6454,52.2714
Bibb County_AL,8.3131,76.9662
Blount County_AL,7.6689,89.8519
Bullock County_AL,17.9754,24.2289
Butler County_AL,10.9122,56.3155
Calhoun County_AL,12.2789,69.2397
Chambers County_AL,8.91,56.6338
Cherokee County_AL,7.8995,83.8713
Chilton County_AL,9.1486,82.5418
Choctaw County_AL,13.5766,56.4392
Clarke County_AL,19.3736,54.9552
Clay County_AL,9.3613,79.58
Cleburne County_AL,8.3006,87.8445
Coffee County_AL,7.0908,77.1462
Colbert County_AL,9.0249,67.8876
Conecuh County_AL,22.5739,52.1626
Coosa County_AL,17.0185,64.6372
Covington County_AL,11.2153,83.5883
Crenshaw County_AL,9.7334,72.1529
Cullman County_AL,7.2543,87.8105
Dale County_AL,10.913,74.1151
Dallas County_AL,16.3859,30.8809
DeKalb County_AL,7.7143,83.4892
Elmore County_AL,8.2613,74.8381
Escambia County_AL,15.6327,67.5869
Etowah County_AL,9.0255,73.9108
Fayette County_AL,10.0235,81.8082
Franklin County_AL,9.7613,79.1803
Geneva County_AL,11.1916,85.4876
Greene County_AL,20.396,17.2357
Hale County_AL,13.3246,39.6005
Henry County_AL,8.1476,70.1385
Houston County_AL,8.2893,72.7266
Jackson County_AL,10.1188,80.0722
Jefferson County_AL,9.1218,45.0221
Lamar County_AL,10.165,83.9561
Lauderdale County_AL,7.0854,71.458
Lawrence County_AL,9.7535,73.3912
Lee County_AL,7.2658,59.5148
Limestone County_AL,7.7564,73.1574
Lowndes County_AL,13.1816,26.2283
Macon County_AL,16.9404,15.9351
Madison County_AL,8.5291,55.9336
Marengo County_AL,11.4496,47.7165
Marion County_AL,9.8917,87.3064
Marshall County_AL,8.4406,83.5607
Mobile County_AL,9.8362,55.7492
Monroe County_AL,20.6997,56.6618
Montgomery County_AL,8.8412,35.8753
Morgan County_AL,9.9447,74.7975
Perry County_AL,11.2178,26.6984
Pickens County_AL,13.7718,57.4468
Pike County_AL,10.1739,58.9712
Randolph County_AL,10.3004,75.9822
Russell County_AL,11.0633,48.1292
St. Clair County_AL,8.3594,83.2406
Shelby County_AL,5.468,73.4275
Sumter County_AL,16.8362,24.7379
Talladega County_AL,13.757,62.0025
Tallapoosa County_AL,9.0246,70.0767
Tuscaloosa County_AL,7.5727,58.3798
Walker County_AL,11.3851,82.7822
Wilcox County_AL,20.7705,28.4988
Winston County_AL,9.6414,89.9561
Apache County_AZ,18.1664,28.4849
Cochise County_AZ,8.7315,58.0249
Coconino County_AZ,8.7771,36.8871
Gila County_AZ,12.8403,63.8938
Graham County_AZ,14.0804,67.2167
Greenlee County_AZ,10.0054,58.341
La Paz County_AZ,11.1698,68.5662
Maricopa County_AZ,7.7254,49.1262
Mohave County_AZ,13.1992,73.6713
Navajo County_AZ,19.7876,51.3005
Pima County_AZ,10.0123,40.7524
Pinal County_AZ,10.618,57.4138
Santa Cruz County_AZ,11.3407,24.454
Yavapai County_AZ,9.9595,63.4426
Yuma County_AZ,13.0664,50.5066
Ashley County_AR,11.7713,66.5006
Baxter County_AR,7.6134,74.8774
Benton County_AR,4.2457,64.4491
Boone County_AR,8.4366,76.8288
Bradley County_AR,9.3669,59.8009
Calhoun County_AR,7.199,69.0667
Carroll County_AR,6.2377,63.5604
Chicot County_AR,11.4843,41.3594
Clark County_AR,8.4184,52.5762
Clay County_AR,9.4929,63.2151
Cleburne County_AR,10.236,78.994
Cleveland County_AR,9.6559,74.5681
Columbia County_AR,10.1259,61.7404
Conway County_AR,8.1195,61.8094
Craighead County_AR,7.4618,65.1968
Crawford County_AR,7.8631,75.1749
Crittenden County_AR,9.9061,44.0119
Cross County_AR,8.6372,67.0034
Dallas County_AR,8.3459,54.9799
Desha County_AR,17.706,45.3147
Drew County_AR,14.2874,60.5464
Faulkner County_AR,6.6466,62.9152
Franklin County_AR,10.9911,75.1568
Fulton County_AR,7.5627,73.145
Garland County_AR,9.1909,64.5883
Grant County_AR,9.3854,75.2735
Greene County_AR,9.0071,74.1783
Hempstead County_AR,7.9373,62.8723
Hot Spring County_AR,7.5591,69.0055
Howard County_AR,8.5471,68.0837
Independence County_AR,6.8537,73.8302
Izard County_AR,9.9844,74.9073
Jackson County_AR,7.8687,64.0487
Jefferson County_AR,11.2013,35.9421
Johnson County_AR,6.1844,67.4892
Lafayette County_AR,12.5,61.7284
Lawrence County_AR,6.8769,72.1975
Lee County_AR,17.3295,40.9121
Lincoln County_AR,14.1653,64.3681
Little River County_AR,8.8062,69.4145
Logan County_AR,8.1058,73.1854
Lonoke County_AR,5.917,74.3555
Madison County_AR,7.3428,72.5007
Marion County_AR,10.9456,75.5731
Miller County_AR,9.6396,70.5151
Monroe County_AR,12.8213,50.6146
Montgomery County_AR,4.2906,74.688
Newton County_AR,4.4405,77.0571
Ouachita County_AR,8.2864,54.114
Perry County_AR,6.7528,70.7097
Phillips County_AR,18.0808,35.4366
Pike County_AR,6.6138,79.6259
Poinsett County_AR,10.0368,59.6063
Polk County_AR,8.999,81.3447
Pope County_AR,7.649,72.8429
Prairie County_AR,6.1699,73.5311
Pulaski County_AR,7.505,38.7896
Randolph County_AR,5.41,71.4082
St. Francis County_AR,11.7182,43.1058
Saline County_AR,5.2705,68.9846
Scott County_AR,10.9388,78.82
Searcy County_AR,5.8745,79.9081
Sebastian County_AR,6.093,66.0491
Sevier County_AR,9.3173,72.6367
Sharp County_AR,8.7686,75.1739
Stone County_AR,6.9987,73.8375
Union County_AR,9.6969,62.4373
Van Buren County_AR,11.1868,75.6856
White County_AR,7.1082,76.6384
Woodruff County_AR,12.4026,52.7059
Yell County_AR,8.2762,71.9987
Alameda County_CA,8.2642,14.8711
Alpine County_CA,10.7221,36.6957
Amador County_CA,14.0072,59.5776
Butte County_CA,12.062,48.0301
Calaveras County_CA,12.0541,58.5296
Colusa County_CA,10.3753,53.852
Contra Costa County_CA,8.7661,25.439
Del Norte County_CA,11.472,54.8446
El Dorado County_CA,11.0903,53.3835
Fresno County_CA,13.2353,45.5315
Glenn County_CA,12.6069,61.7123
Humboldt County_CA,10.5149,32.3552
Imperial County_CA,17.4078,27.0532
Inyo County_CA,6.7721,53.1266
Kern County_CA,12.6592,54.7314
Kings County_CA,12.9811,54.0961
Lake County_CA,14.6476,44.0935
Lassen County_CA,10.8822,72.6732
Los Angeles County_CA,10.0013,23.3887
Madera County_CA,7.4679,56.0984
Marin County_CA,5.7378,15.9458
Mariposa County_CA,11.6136,58.4094
Mendocino County_CA,12.1726,31.2287
Merced County_CA,16.2428,43.4729
Modoc County_CA,8.6325,71.8369
Mono County_CA,13.4151,40.357
Monterey County_CA,8.4454,27.285
Napa County_CA,7.5248,29.5744
Orange County_CA,7.6383,43.2801
Placer County_CA,8.3223,52.4653
Plumas County_CA,15.1844,57.5198
Riverside County_CA,12.8772,45.2763
Sacramento County_CA,11.8119,34.8695
San Benito County_CA,12.1618,36.8256
San Bernardino County_CA,12.6046,42.413
San Diego County_CA,8.6986,38.2352
San Francisco County_CA,6.7786,9.4425
San Joaquin County_CA,13.7184,40.9944
San Luis Obispo County_CA,6.552,42.2814
San Mateo County_CA,6.6866,18.6891
Santa Barbara County_CA,8.0458,32.7236
Santa Clara County_CA,7.676,20.853
Santa Cruz County_CA,7.642,17.7589
Shasta County_CA,10.3139,65.5884
Sierra County_CA,7.9602,58.0931
Siskiyou County_CA,12.6571,56.5235
Solano County_CA,11.3733,31.778
Sonoma County_CA,8.0975,22.8093
Stanislaus County_CA,15.1652,46.727
Sutter County_CA,13.1703,55.1448
Tehama County_CA,13.1804,65.4907
Trinity County_CA,9.019,51.0814
Tulare County_CA,12.0153,53.3863
Tuolumne County_CA,12.8741,57.4557
Ventura County_CA,8.628,38.5746
Yolo County_CA,9.0414,26.0316
Yuba County_CA,14.7846,58.4718
Adams County_CO,7.9341,42.1453
Alamosa County_CO,10.4348,43.9466
Arapahoe County_CO,7.2042,38.9259
Archuleta County_CO,8.218,58.0796
Baca County_CO,4.5429,81.4428
Bent County_CO,8.2513,61.6279
Boulder County_CO,6.0628,21.9345
Broomfield County_CO,5.4966,38.2197
Chaffee County_CO,5.8864,48.0316
Cheyenne County_CO,9.3385,84.1078
Clear Creek County_CO,5.3664,43.8539
Conejos County_CO,9.7401,47.4811
Costilla County_CO,14.0083,31.9231
Crowley County_CO,26.9674,70.7478
Custer County_CO,13.9851,67.1997
Delta County_CO,11.7103,69.5276
Denver County_CO,6.3268,18.7855
Dolores County_CO,4.6429,76.0976
Douglas County_CO,4.0783,54.7666
Eagle County_CO,4.3705,36.0577
Elbert County_CO,6.6752,73.5292
El Paso County_CO,8.4352,56.3426
Fremont County_CO,9.1718,68.8574
Garfield County_CO,6.9325,49.6468
Gilpin County_CO,4.878,43.7605
Grand County_CO,5.6879,52.4727
Gunnison County_CO,7.7647,34.95
Hinsdale County_CO,3.0108,57.5552
Huerfano County_CO,14.9942,49.7084
Jackson County_CO,1.5464,72.8538
Jefferson County_CO,5.9012,42.0746
Kit Carson County_CO,5.939,80.0996
Lake County_CO,5.713,39.811
La Plata County_CO,5.2098,40.5931
Larimer County_CO,6.7006,42.6123
Las Animas County_CO,9.2265,54.6242
Lincoln County_CO,6.2972,77.9767
Logan County_CO,8.9501,74.9536
Mesa County_CO,8.6539,64.2783
Mineral County_CO,1.5924,52.7607
Moffat County_CO,5.8623,81.3057
Montezuma County_CO,9.518,61.1601
Montrose County_CO,10.1814,67.8832
Morgan County_CO,6.162,68.1696
Otero County_CO,10.7287,59.3092
Ouray County_CO,6.6859,40.6754
Park County_CO,5.6168,59.0825
Phillips County_CO,5.3435,76.801
Pitkin County_CO,7.7213,24.2804
Prowers County_CO,9.7368,70.4701
Pueblo County_CO,10.7984,46.1572
Rio Blanco County_CO,4.1572,80.9662
Rio Grande County_CO,8.052,55.758
Routt County_CO,4.047,37.3875
Saguache County_CO,9.6869,40.9679
San Juan County_CO,13.8107,42.4901
San Miguel County_CO,5.8403,23.8924
Sedgwick County_CO,6.3752,74.4135
Summit County_CO,4.6842,31.5298
Teller County_CO,8.2343,67.4505
Weld County_CO,6.6239,56.7172
Yuma County_CO,2.518,80.5103
Fairfield County_CT,8.9904,37.8906
Hartford County_CT,9.3421,37.0503
Litchfield County_CT,7.1182,54.7817
Middlesex County_CT,5.966,43.9436
New Haven County_CT,9.5218,42.1307
